;Produit;Prix 1;Prix 2;Prix 3;Prix 4;Prix 5;Prix 6;Prix 7;Prix 8;Prix 9;Prix 10;Prix 11;Prix 12
5772; CERISE rouge Belgique cat.I +28mm (le kg) ;  ; 5.65;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5773; CERISE rouge Belgique cat.I +30mm (le kg) ;  ; 6.01;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5774; CERISE rouge Espagne cat.I +22mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 5.10
5775; CERISE rouge Espagne cat.I +24mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 8.54
5776; CERISE rouge Espagne cat.I +26mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 13.00; 8.77
5777; CERISE rouge Espagne cat.I +28mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 18.86; 10.26
5778; CERISE rouge Espagne cat.I +30mm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 12.82
5779; CERISE rouge France cat.I +24mm plateau (le kg) ; 3.95; 4.30;  ;  ;  ;  ;  ;  ;  ;  ;  ; 9.21
5780; CERISE rouge France cat.I +26mm plateau (le kg) ; 4.71; 5.21;  ;  ;  ;  ;  ;  ;  ;  ;  ; 10.68
5781; CERISE rouge France cat.I +28mm plateau (le kg) ; 5.88; 6.26;  ;  ;  ;  ;  ;  ;  ;  ;  ; 11.50
5782; CERISE rouge France cat.I +30mm plateau (le kg) ; 6.73; 6.70;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5783; CERISE rouge France biologique (le kg) ; 8.65; 6.25;  ;  ;  ;  ;  ;  ;  ;  ;  ; 12.01
5784; CERISE Burlat U.E. cat.I +26mm plateau (le kg) ;  ; 4.50;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5785; CERISE rouge France cat.I +24mm plateau (le kg) ; 4.93; 4.03;  ;  ;  ;  ;  ;  ;  ;  ;  ; 9.00
5786; CERISE rouge France cat.I +26mm plateau (le kg) ;  ; 5.83; 8.50;  ;  ;  ;  ;  ;  ;  ;  ;  
5787; CERISE rouge France cat.I +28mm plateau (le kg) ; 5.50; 6.63; 9.50;  ;  ;  ;  ;  ;  ;  ;  ;  
5788; CERISE rouge France cat.I +30mm plateau (le kg) ; 5.75; 7.50;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5789; CERISE rouge U.E. cat.I +24mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 9.50
5790; CERISE rouge U.E. cat.I +26mm plateau (le kg) ; 4.72; 5.83;  ;  ;  ;  ;  ;  ;  ;  ;  ; 9.40
5791; CERISE rouge U.E. cat.I +28mm plateau (le kg) ;  ; 7.57; 6.50;  ;  ;  ;  ;  ;  ;  ;  ; 8.25
5792; CERISE rouge U.E. cat.I +30mm plateau (le kg) ; 7.38; 7.02; 7.83;  ;  ;  ;  ;  ;  ;  ;  ; 11.00
5793; CERISE rouge U.E. cat.I +32mm plateau (le kg) ;  ; 12.50; 13.00;  ;  ;  ;  ;  ;  ;  ;  ;  
5794; CERISE Burlat Espagne cat.I +24mm plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 3.50
5795; CERISE rouge Belgique cat.I +28mm (le kg) ;  ; 6.21;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
5796; CERISE rouge Espagne cat.I +26mm plateau (le kg) ; 5.00;  ;  ;  ;  ;  ;  ;  ;  ;  ; 12.00; 5.91
5797; CERISE rouge Espagne cat.I +30mm plateau (le kg) ; 5.00;  ;  ;  ;  ;  ;  ;  ;  ;  ; 17.00; 8.50
